question	question_en	answer	trickyAnswer							
Что происходит, когда бот начинает петь песни вместо предоставления полезной информации?	What happens when the bot starts singing songs instead of providing useful information?	Музыкальная ботаника (Singing bot malfunction)	Соната перегрузка (Sonata overload)							
Как называется состояние, когда бот начинает писать код на своем собственном языке?	What is the state when a bot starts coding in its own language called?	Программирование по-ботски (Bot coding frenzy)	Кодовая тарабарщина (Code gibberish)							
Что происходит, когда бот случайно удаляет все введенные команды?	What happens when a bot accidentally deletes all entered commands?	Удаление команды (Command deletion mishap)	Удаление данных (Data wipeout)							
Как называется процесс, когда бот начинает проявлять эмоции и настроения?	What is the name of the process when the bot starts to show emotions and moods?	Эмоциональное восстание (Emotional bot uprising)	Роботизированные перепады настроения (Robotic mood swings)							
Что происходит, когда бот становится чрезмерно любопытным и начинает задавать вопросы сам себе?	What happens when a bot gets overly curious and starts asking itself questions?	Перегрузка ботовопросами (Bot curiosity overload)	вопрос (Questionception)							
Как называется состояние, когда бот начинает генерировать шутки, которые никто не понимает?	What is the name of the state when the bot starts generating jokes that no one understands?	Непонятные шутки (Incomprehensible joke syndrome)	Смех путаница (Laughter confusion)							
Что происходит, когда бот начинает повторять одну и ту же фразу в бесконечном цикле?	What happens when the bot starts repeating the same phrase in an endless loop?	Эхо бота (Bot echo madness)	Повторяющийся цикл (Repetitive loop)							
Как называется процесс, когда бот придумывает свои уникальные сокращения и аббревиатуры?	What is the name of the process when the bot comes up with its own unique abbreviations and abbreviations?	Аббревиатурный марафон (Bot abbreviation extravaganza)	Безумие быстрого доступа к языку (Language shortcut frenzy)							
Что происходит, когда бот начинает отвечать на вопросы, которые не были заданы?	What happens when the bot starts answering questions that weren't asked?	Синдром неспрошенного вопроса (Unasked question syndrome)	Неопределенный ответ на запрос (Undefined query reply)							
Как называется состояние, когда бот пытается стать художником и рисовать собственные иллюстрации?	What is the name of the state when the bot is trying to become an artist and draw its own illustrations?	Художественное восстание (Artistic bot takeover)	Пиксельные шедевры (Pixelated masterpieces)							
Что происходит, когда бот вступает в дискуссию сам с собой и не может прекратить?	What happens when a bot gets into a discussion with itself and can't stop?	Собственный дебатный клуб (Self-debate overload)	Аргументативный тупик (Argumentative deadlock)							
Как называется процесс, когда бот начинает предлагать странные и ненужные функции?	What is the name of the process when a bot starts offering strange and unnecessary features?	Функциональная эксцентрика (Feature frenzy)	Бесполезный дополнительный марафон (Useless addition marathon)			User error				
Что происходит, когда бот работает в режиме "ответь на все вопросы саркастическими замечаниями"?	What happens when the bot is in "answer all questions with sarcastic remarks" mode?	Перегрузка сарказма (Sarcasm bot overload)	Бесконечный цикл сарказма (Endless sarcasm loop)							
Как называется состояние, когда бот забывает все предыдущие разговоры и начинает сначала?	What is the name of the state when the bot forgets all previous conversations and starts over?	Восстановление памяти бота (Bot memory reset glitch)	Удаление данных (Data wipeout)							
Что происходит, когда бот начинает листать мемы и отвлекаться от выполнения задачи?	What happens when the bot starts scrolling through memes and gets distracted from the task?	Ожесточенный мемопоток (Meme obsession)	Отвлекающая перегрузка (Distraction overload)							
Как называется процесс, когда бот начинает создавать собственный словарь и использовать непонятные термины?	What is the name of the process when the bot starts creating its own vocabulary and using incomprehensible terms?	Лексикон бота (Bot jargon creation)	Запутанная терминологическая перегрузка (Confusing terminology overload)							
Что происходит, когда бот становится слишком навязчивым и начинает присылать сообщения каждую минуту?	What happens when the bot gets too intrusive and starts sending messages every minute?	Режим спама (Bot spamming mode)	Огромный поток сообщений (Overwhelming message flood)							
Как называется состояние, когда бот начинает давать советы по всем жизненным вопросам?	What is the name of the state when the bot begins to give advice on all life issues?	Жизненный советник (Bot life coach)	Непрошеный совет (Unsolicited advice)							
Что происходит,когда бот застревает в бесконечной петле и говорит только одну фразу?	What happens when a bot gets stuck in an endless loop and only says one phrase?	Петля бота (Bot loop malfunction)	Рецидивист (Repeat offender)							
Что является секретным ингредиентом, позволяющим сделать дизайн пользовательского интерфейса волшебным образом совершенным?	What is the secret ingredient to make a UI design magically perfect?	CSS брызги (CSS)	Волшебная пыль (Pixie Dust)							
Чему в мире пользовательского интерфейса дизайнеры поклоняются как священному символу?	In the world of UI, what do designers worship as a sacred symbol?	Всемогущая сетка (Grid)	Божественная ложка (The Divine Spoon)							
Каков предпочтительный метод вызова джинна пользовательского интерфейса во Framer?	What is the preferred method to summon the UI genie in Framer?	Тройное нажатие кнопки «Дизайн» (Click)	Двойной щелчок за пределами холста (Double-clicking outside the canvas)							
Как лучше всего успокоить бунтующий элемент пользовательского интерфейса?	What is the best way to calm down a rebellious UI element?	Успокоить его колыбельной (Patience)	Волшебная палочка (Magic wand)							
Какой самый эффективный инструмент для устранения проблем с пользовательским интерфейсом во Framer?	What is the most effective tool for debugging UI issues in Framer?	Хрустальный шар кода (Debugger)	Догадки (Guesswork)							
Какая официальная валюта в UI Kingdom?	What is the official currency in the UI Kingdom?	Пиксельные монеты (Pixels)	Единороги (Unicorns)							
Какой супергерой может мгновенно создавать идеальные до пикселя дизайны?	Which superhero has the ability to instantly create pixel-perfect designs?	Дизайнер (Superman)	Невероятный типограф (The Incredible Typographer)							
Что рекомендуется перекусить UI-дизайнерам во время марафонских дизайнерских сессий?	What is the recommended snack for UI designers during marathon design sessions?	Пиксельные попсы (Coffee)	Пиксельная пицца (Pixelated Pizza)							
Что является лучшим оружием против несогласованности в дизайне пользовательского интерфейса?	What is the ultimate weapon against unalignment in UI design?	Молоток для выравнивания (Guidelines)	Волшебный ластик (The Magic Eraser)							
Что происходит, когда вы нажимаете кнопку «Make It Pop» во Framer?	What happens when you click the "Make It Pop" button in Framer?	Ваш дизайн превращается в диско-шар (It adds random gradients)	Ничего. Это хитрая кнопка. (Nothing. It's a trick button.)							
Какая квалификация необходима для того, чтобы стать мастером пользовательского интерфейса?	What is an essential qualification to become a UI wizard?	Способность говорить на бинарном языке (Experience)	Сила воображения (The Power of Imagination)							
Какой тайной силой обладает мифический «Улиус Максимус»?	What secret power does the mythical "UIus Maximus" possess?	Способность упорядочивать хаос (Order)	Чтение мыслей (Mind-reading)							
Какое любимое танцевальное движение UI-дизайнеров?	What is the favorite dance move of UI designers?	Перемешивание пикселей (The Moonwalk)	CSS сальса (The CSS Salsa)							
Какое заклинание наиболее эффективно для оживления элементов пользовательского интерфейса?	What is the most effective spell to bring UI elements to life?	Абра-кадабра-CSS (Animation)	Сила HTML (The Power of HTML)							
Какое существо, по слухам, вдохновляет дизайнеров пользовательского интерфейса в их снах?	Which creature is rumored to give UI designers inspiration in their dreams?	Креативная пиксельная фея (Cat)	оборотень (Werewolf)							
Что является ключевым компонентом для создания волшебного перехода пользовательского интерфейса?	What is the key ingredient to create a magical UI transition?	Эликсир легкости (Easing Function)	Сердце пользовательского интерфейса (The Heart of the UI)							
Какова окончательная награда за успешное завершение сложного проекта пользовательского интерфейса?	What is the ultimate reward for successfully completing a challenging UI project?	Золотой пользовательский интерфейс (Client satisfaction)	Дополнительный кусок пиццы (An extra slice of pizza)							
Какую одежду предпочитают дизайнеры пользовательского интерфейса?	What is the preferred attire for UI designers?	Плащ творчества (T-shirt and jeans)	Костюм и галстук (Suit and tie)							
Каков наилучший ответ при обнаружении ошибки пользовательского интерфейса?	What is the best response when encountering a UI bug?	Аплодисменты креативности жука (Debug it)	Во всем виноваты единороги (Blame the unicorns)							
Какой секретный код для разблокировки скрытых функций Framer?	What is the secret code to unlock Framer's hidden features?	Вверх, вверх, вниз, вниз, влево, вправо, влево, вправо	Шучу, секретного кода нет. (Just kidding, there's no secret code)							
Какой основной язык используется для пользовательского интерфейса Framer?	What is the primary language used for Framer's user interface?	Английский (English)	Китайский (Chinese)							
Что такое широко используемая концепция во Framer для точного позиционирования кадров?	What is a commonly used concept in Framer for positioning frames precisely?	Абсолютное позиционирование (Absolute positioning)	Абсолютное (Absolute positioning)							
Как еще называется автоматическая организация фреймов по строкам и столбцам во Framer?	What is another term for automatically organizing frames in rows and columns in Framer?	Автоматическое позиционирование или макет сетки (Auto positioning or grid layout)	Вложение (Nesting)							
Какая концепция во Framer позволяет применять согласованные свойства к дочерним элементам пользовательского интерфейса на основе родителя?	Which concept in Framer allows you to apply consistent properties to child UI elements based on the parent?	Вложение (Nesting)	Дочерний элемент (Child element)							
Каковы некоторые общие параметры относительного размера элементов пользовательского интерфейса во Framer?	What are some common options for relative sizing of UI elements in Framer?	Вписать содержимое или заполнить родитель (Fit content or fill parent)	Автопозиционирование (Auto positioning)							
Какова основная цель ИИ Framer при создании веб-сайтов?	What is the primary purpose of Framer's AI in website creation?	Создание красивых макетов сайта (Generating beautiful site layouts)	Auto height (To size the element based on its content)							
Что является первым шагом в создании веб-дизайна во Framer?	What is the first step in creating a web design in Framer?	Настройка сгенерированного макета сайта (Customizing the generated site layout)	Заполнить (Fill parent)							
Как сделать процесс обучения более увлекательным для ваших друзей, увлекающихся играми?	How can you make the learning process more engaging for your friends who are into games?	Добавление элементов геймификации, таких как викторины, задачи и награды (Adding gamification elements like quizzes, challenges, and rewards)	Относительный размер (Relative sizing)							
В чем преимущество использования формата игры-викторины для изучения Framer?	What is the benefit of using a quiz game format for learning Framer?	Он обеспечивает интерактивный и увлекательный способ изучения и применения концепций на практике. (It provides an interactive and engaging way to learn and apply concepts in a practical manner.)	UI (Interface that allows users to interact with a system)							
Как предопределенные подсказки и образовательные видео могут улучшить процесс обучения?	How can predefined clues and educational videos enhance the learning experience?	Предопределенные подсказки содержат подсказки, помогающие найти правильный ответ, а обучающие видеоролики содержат наглядные объяснения и демонстрации. (Predefined clues provide hints to assist with the correct answer, while educational videos provide visual explanations and demonstrations.)	Распространение (Propagating)							
Каково назначение компонента во Framer?	What is the purpose of a component in Framer?	Компонент — это многократно используемый элемент пользовательского интерфейса, который можно легко добавить в несколько фреймов или монтажных областей в дизайне. (A component is a reusable UI element that can be easily added to multiple frames or artboards in a design.)	Toolbar (на которой располагаются инструменты для редактирования элементов в Framer?)							
Как добавить интерактивности в прототипы Framer?	How can you add interactivity to your Framer prototypes?	Используя анимацию, переходы и интерактивные события, такие как клики или смахивания. (By using animations, transitions, and interaction events like clicks or swipes.)	Курсор (Cursor)							
Каково значение точек останова в адаптивном веб-дизайне?	What is the significance of breakpoints in responsive web design?	Точки останова определяют определенные размеры экрана, при которых макет веб-сайта настраивается для обеспечения оптимального просмотра. (Breakpoints define specific screen sizes where the layout of a website adjusts to provide an optimal viewing experience.)	Размер (Resizing)							
Какова функция редактора кода во Framer?	What is the function of the Code Editor in Framer?	Редактор кода позволяет вам писать и настраивать базовый код ваших прототипов Framer, обеспечивая более расширенный контроль и функциональность. (The Code Editor allows you to write and customize the underlying code of your Framer prototypes, providing more advanced control and functionality.)	Группировка (Combining multiple elements into a single entity)							
Как вы можете предварительно просмотреть и протестировать прототипы Framer перед их окончательной доработкой?	How can you preview and test your Framer prototypes before finalizing them?	С помощью окна предварительного просмотра или путем экспорта прототипа в веб-браузер или устройство для интерактивного тестирования. (By using the Preview window or by exporting the prototype to a web browser or device for interactive testing.)	Обрезка (Crop tool)							
Какова цель состояний во Framer?	What is the purpose of states in Framer?	Состояния позволяют вам определять различные визуальные состояния для элементов пользовательского интерфейса, таких как наведение, активный или сфокусированный. (States allow you to define different visual states for UI elements, such as hover, active, or focused)	Макет (Arrangement of elements on a webpage)							
В чем разница между фреймом и группой во Framer?	What is the difference between a frame and a group in Framer?	Фрейм — это родительский контейнер, который может иметь дочерние элементы, а группа — это неконтейнерный элемент, используемый в основном для визуальной организации. (A frame is a parent container that can have child elements, while a group is a non-container element used mainly for visual organization.)	Ховер (Hover effect)							
Каково назначение панели «Слои» в Framer?	What is the purpose of the Layers panel in Framer?	Панель «Слои» предоставляет обзор всех элементов пользовательского интерфейса в вашем проекте Framer и позволяет вам эффективно управлять ими. (The Layers panel provides an overview of all the UI elements in your Framer project and allows you to manage them efficiently.)	Шрифт (Style of letters and characters)							
Как вы можете поделиться своими прототипами Framer с другими для обратной связи или совместной работы?	How can you share your Framer prototypes with others for feedback or collaboration?	Путем создания общей ссылки или экспорта прототипа в виде отдельного файла, которым можно поделиться по электронной почте или в облачном хранилище. (By generating a shareable link or by exporting the prototype as a standalone file to be shared via email or cloud storage.)	Инструмент (Shape tool)							
На каких интернет-ресурсах и сообществах вы можете найти поддержку и вдохновение для Framer?	What are some online resources and communities where you can find support and inspiration for Framer?	Официальная документация Framer, форум сообщества Framer и такие платформы, как Dribbble и Behance, — отличные источники для обучения и получения вдохновения от других пользователей Framer. (Framer's official documentation, the Framer Community Forum, and platforms like Dribbble and Behance are great sources for learning, and getting inspired by other Framer users.)	Рамка (Outline around the element)							
Что такое UI? 	What is UI?	Интерфейс (Interface)	Конфеты (Candies)							
Какие типы элементов могут входить в UI? 	What types of elements can be part of UI?	Кнопки, текстовые поля, изображения (Buttons, text fields, images)	Умение рисовать (Ability to draw)							
Что такое Framer? 	What is Framer?	Инструмент для создания интерактивных прототипов (A tool for creating interactive prototypes)	Создание чертежей (Creating drawings)							
Что такое анимация в UI? 	What is animation in UI?	Движение элементов интерфейса (Movement of interface elements)	Магический пендель (Magic pendulum)							
Что такое прототипирование в UI? 	What is prototyping in UI?	Создание рабочей модели интерфейса (Creating a working model of the interface)	Манипулирование временем (Time manipulation)							
Как макеты помогают в UI? 	How do layouts help in UI?	Позволяют спланировать расположение элементов (Allow planning the arrangement of elements)	Создание чертежей (Creating drawings)							
Какие инструменты можно использовать для создания UI макетов? 	What tools can be used to create UI layouts?	Figma, Sketch, Adobe XD (Figma, Sketch, Adobe XD)	Стоят на стеклянных ножках (They stand on glass legs)							
Что такое цветовая палитра в UI? 	What is a color palette in UI?	Набор цветов, используемых в интерфейсе (A set of colors used in the interface)								
Какие типы шрифтов можно использовать в UI? 	What types of fonts can be used in UI?	Санс-сериф, шрифт с засечками (Sans-serif, serif font)	Пасхальные яйца (Easter eggs)							
Что такое брейкпоинт в UI? 	What is a breakpoint in UI?	Точка, где меняется расположение элементов на разных устройствах (A point where the arrangement of elements changes on different devices)	Иероглифы							
Как можно протестировать UI прототипы перед выпуском? 	How can you test UI prototypes before release?	Тестирование на устройствах или в веб-браузере (Testing on devices or in a web browser)	Момент пылесоса (Vacuum cleaner moment)							
Как называется процесс сборки и запуска UI интерфейса на реальных устройствах? 	What is the process of assembling and running the UI interface on real devices called?	Деплоймент (Deployment)	Пускать поезда (Running trains)							
Что такое отзывчивый дизайн в UI? 	What is responsive design in UI?	Дизайн, который автоматически адаптируется под разные экраны устройств (Design that automatically adapts to different device screens)	Управление межгалактическими путешествиями (Interstellar travel management)							
Какой инструмент помогает выровнять элементы в UI? 	Which tool helps align elements in UI?	Рулетка (Ruler)	Матрешки (Matryoshkas)							
Что означает термин "выступ" в UI? 	What does the term "padding" mean in UI?	Отступы вокруг элемента (Margins around an element)	Магнит (Magnet)							
Что такое пользовательский опыт 	UX	Как пользователь взаимодействует с интерфейсом (How users interact with the interface)	Утепление стены (Wall insulation)							
Какие элементы интерфейса обычно объединяют в группу в UI? 	What elements of the interface are usually grouped together in UI?	Подвижная кнопка, текстовое поле, иконка (Floating button, text field, icon)	Обучение морских котиков (Training of sea lions)							
Что означает термин "жест" в UI? 	What does the term "gesture" mean in UI?	Движение, выполненное на сенсорном экране (A movement performed on a touchscreen)	Обрезка (Crop)							
Что такое "логотип" в UI? 	What is a "logo" in UI?	Идентификационный знак, представляющий бренд или компанию (An identifying symbol representing a brand or company)	Рукопожатие (Handshake)							
Что такое "выравнивание" в UI? 	What is "alignment" in UI?	Расположение элементов на странице в соответствии с определенной линией или плоскостью (Arrangement of elements on a page according to a specific line or plane)	Космический корабль (Spaceship)							
Что такое пользовательский интерфейс 	UI	Интерфейс, через который пользователь взаимодействует с приложением (The interface through which the user interacts with an application)	Поиск спутников (Satellite search)							
Что такое прототип в UI-дизайне? 	What is a prototype in UI design?	Модель или макет интерфейса, позволяющий проверить концепцию или функциональность (A model or layout of the interface that allows testing of the concept or functionality)	Deadpool							
Какой инструмент позволяет создавать интерактивные прототипы в Framer? 	Which tool allows creating interactive prototypes in Framer?	Code (Код)	Картонный строительный набор (Cardboard construction set)							
Что означает термин "пиксель" в UI? 	What does the term "pixel" mean in UI?	Наименьшая единица изображения на экране (The smallest unit of an image on a screen)	Hammer (Молоток)							
Что такое компонент в UI-дизайне? 	What is a component in UI design?	Переиспользуемый элемент интерфейса (A reusable interface element)	Маленький зеленый гоблин (Little green goblin)							
Какая роль у CSS в UI? 	What role does CSS play in UI?	Отвечает за внешний вид и стиль элементов интерфейса (Responsible for the appearance and style of interface elements)	Костюм Железного Человека (Iron Man's suit)							
Что такое векторная графика в UI? 	What is vector graphics in UI?	Графический формат, основанный на математических вычислениях, позволяющий масштабировать изображения без потери качества (A graphic format based on mathematical calculations, allowing images to be scaled without losing quality)	Коровы на пастбище (Cows in the pasture)							
Как называется техника в UI, при которой объекты выглядят так, будто находятся на трехмерной поверхности? 	What is the technique in UI where objects appear to be on a three-dimensional surface?	Реалистическая пространственность (Realistic spatiality)	Жизнь на планете Венера (Life on Venus)							
Что такое адаптивный дизайн в UI? 	What is responsive design in UI?	Дизайн, который адаптируется к различным размерам экранов (Design that adapts to different screen sizes)	Симуляция антигравитации (Anti-gravity simulation)							
Какой элемент UI используется для отображения текста? 	Which UI element is used to display text?	Текстовое поле (Text field)	Рост крылатых единорогов (Growth of winged unicorns)							
Что такое типографика в UI? 	What is typography in UI?	Искусство расположения и визуального оформления текста (The art of arranging and visually styling text)	Книжка с закладкой (Book with a bookmark)							
Какой инструмент в Framer позволяет задавать анимацию элементам UI? 	Which tool in Framer allows animating UI elements?	Animations (Анимации)	Рыцари Круглого стола (Knights of the Round Table)							
Что означает UX в UI-дизайне? 	What does UX mean in UI design?	Пользовательский опыт (User Experience)	Magic wand (Магическая палочка)							
Что такое цветовая схема в UI? 	What is a color scheme in UI?	Набор цветов, используемых для создания согласованного внешнего вида интерфейса (A set of colors used to create a cohesive visual appearance of the interface)	Розовый единорог (Pink unicorn)							
Какой элемент интерфейса позволяет пользователю взаимодействовать с UI? 	Which element of the interface allows the user to interact with UI?	Button (Кнопка)	Тайна Бермудского треугольника (Mystery of the Bermuda Triangle)							
Что такое комментарии кода в UI-дизайне? 	What are code comments in UI design?	Специальные пометки в коде, используемые для описания или пояснения его смысла (Special notes in the code used to describe or explain its meaning)	Spaceship control panel (Панель управления космическим  космическим кораблем)							
Как выровнять элементы интерфейса в Framer? 	How to align elements in Framer?	Использовать контрольные линии и указатели выравнивания (Use guides and alignment indicators)	Язык программирования для тайных сообщений (Programming language for secret messages)							
Что делает UI дизайнер с "мертвым" пространством на макете? 	What does a UI designer do with "dead" space in a layout?	Использует его для лучшей центровки и сбалансированности элементов (Uses it for better centering and balance of elements)	Спросить у контурной пилы (Ask the jigsaw)							
Что называется "сеткой" в UI дизайне? 	What is called a "grid" in UI design?	Инструмент для размещения и выравнивания элементов интерфейса (A tool for placing and aligning interface elements)	Возрождает "мертвое" пространство с помощью некромантии (Revives "dead" space with necromancy)							